fecha,buque,imo,puerto,pax,trip,exentos,sentido,servicio,anio
2016-01-26 00:00:00,ATLANTIC EXPRESS,8919506,COLONIA EXPRESS BAIRES,248,16,3,Salida,Pasajeros,2016
2016-01-26 00:00:00,ATLANTIC EXPRESS,8919506,ROU - COLONIA,76,27,0,Entrada,Pasajeros,2016
2016-01-26 00:00:00,ATLANTIC EXPRESS,8919506,COLONIA EXPRESS BAIRES,83,16,0,Salida,Pasajeros,2016
2016-01-26 00:00:00,ATLANTIC EXPRESS,8919506,ROU - COLONIA,268,14,10,Entrada,Pasajeros,2016
2016-01-26 00:00:00,ATLANTIC III,9001540,BUQUEBUS,316,33,2,Salida,Pasajeros,2016
2016-01-26 00:00:00,ATLANTIC III,9001540,ROU - COLONIA,152,25,2,Entrada,Pasajeros,2016
2016-01-26 00:00:00,ATLANTIC III,9001540,BUQUEBUS,298,34,5,Salida,Pasajeros,2016
2016-01-26 00:00:00,ATLANTIC III,9001540,ROU - COLONIA,388,35,6,Entrada,Pasajeros,2016
2016-01-26 00:00:00,ATLANTIC III,9001540,BUQUEBUS,103,34,0,Salida,Pasajeros,2016
2016-01-26 00:00:00,ATLANTIC III,9001540,ROU - COLONIA,478,45,10,Entrada,Pasajeros,2016
2016-01-26 00:00:00,BBC LONDON,9513658,PUERTO BUENOS AIRES,0,11,0,Entrada,Carga,2016
2016-01-26 00:00:00,CIUDAD DE BUENOS AIRES,6423151,PUERTO BUENOS AIRES,1,31,0,Entrada,Carga,2016
2016-01-26 00:00:00,CIUDAD DE BUENOS AIRES,6423151,PUERTO BUENOS AIRES,5,14,0,Salida,Carga,2016
2016-01-26 00:00:00,CMA CGM NABUCCO,9299630,PUERTO BUENOS AIRES,0,30,0,Salida,Carga,2016
2016-01-26 00:00:00,COLONIA EXPRESS,8704937,COLONIA EXPRESS BAIRES,105,12,2,Salida,Pasajeros,2016
2016-01-26 00:00:00,COLONIA EXPRESS,8704937,ROU - COLONIA,162,12,1,Entrada,Pasajeros,2016
2016-01-26 00:00:00,ELADIA ISABEL,8869581,BUQUEBUS,334,39,4,Salida,Pasajeros,2016
2016-01-26 00:00:00,ELADIA ISABEL,8869581,ROU - COLONIA,348,41,4,Entrada,Pasajeros,2016
2016-01-26 00:00:00,ELADIA ISABEL,8869581,BUQUEBUS,432,40,6,Salida,Pasajeros,2016
2016-01-26 00:00:00,ELADIA ISABEL,8869581,ROU - COLONIA,559,29,8,Entrada,Pasajeros,2016
2016-01-26 00:00:00,ELADIA ISABEL,8869581,BUQUEBUS,295,40,1,Salida,Pasajeros,2016
2016-01-26 00:00:00,FRANCISCO,9610028,BUQUEBUS,487,51,6,Salida,Pasajeros,2016
2016-01-26 00:00:00,FRANCISCO,9610028,ROU - MONTEVIDEO,421,55,10,Entrada,Pasajeros,2016
2016-01-26 00:00:00,FRANCISCO,9610028,BUQUEBUS,295,53,5,Salida,Pasajeros,2016
2016-01-26 00:00:00,FRANCISCO,9610028,ROU - MONTEVIDEO,696,52,10,Entrada,Pasajeros,2016
2016-01-26 00:00:00,JOSAMO,8933746,PUERTO BUENOS AIRES,0,12,0,Entrada,Carga,2016
2016-01-26 00:00:00,MAERSK LABERINTO,9526978,PUERTO BUENOS AIRES,3,29,0,Salida,Carga,2016
2016-01-26 00:00:00,OCEAN PRINCESS,9187899,TERMINAL CRUCEROS PTO. BS. AS.,605,378,0,Entrada,Pasajeros,2016
2016-01-26 00:00:00,PATRICIA OLIVIA II,9043952,BUQUEBUS,236,14,4,Salida,Pasajeros,2016
2016-01-26 00:00:00,PATRICIA OLIVIA II,9043952,ROU - COLONIA,140,15,0,Entrada,Pasajeros,2016
2016-01-26 00:00:00,PATRICIA OLIVIA II,9043952,BUQUEBUS,208,14,1,Salida,Pasajeros,2016
2016-01-26 00:00:00,PATRICIA OLIVIA II,9043952,ROU - COLONIA,235,14,0,Entrada,Pasajeros,2016
2016-01-26 00:00:00,PATRICIA OLIVIA II,9043952,BUQUEBUS,198,14,0,Salida,Pasajeros,2016
2016-01-26 00:00:00,PATRICIA OLIVIA II,9043952,ROU - COLONIA,239,14,2,Entrada,Pasajeros,2016
2016-01-26 00:00:00,TEHIA,9051997,PUERTO BUENOS AIRES,0,11,0,Entrada,Carga,2016
2016-01-26 00:00:00,TEHIA,9051997,PUERTO BUENOS AIRES,0,11,0,Salida,Carga,2016
2016-01-27 00:00:00,ATLANTIC EXPRESS,8919506,COLONIA EXPRESS BAIRES,248,17,3,Salida,Pasajeros,2016
2016-01-27 00:00:00,ATLANTIC EXPRESS,8919506,ROU - COLONIA,90,16,3,Entrada,Pasajeros,2016
2016-01-27 00:00:00,ATLANTIC EXPRESS,8919506,COLONIA EXPRESS BAIRES,102,11,2,Salida,Pasajeros,2016
2016-01-27 00:00:00,ATLANTIC EXPRESS,8919506,ROU - COLONIA,357,14,9,Entrada,Pasajeros,2016
2016-01-27 00:00:00,ATLANTIC III,9001540,BUQUEBUS,417,33,11,Salida,Pasajeros,2016
2016-01-27 00:00:00,ATLANTIC III,9001540,ROU - COLONIA,210,33,2,Entrada,Pasajeros,2016
2016-01-27 00:00:00,ATLANTIC III,9001540,BUQUEBUS,290,32,2,Salida,Pasajeros,2016
2016-01-27 00:00:00,ATLANTIC III,9001540,ROU - COLONIA,411,33,7,Entrada,Pasajeros,2016
2016-01-27 00:00:00,ATLANTIC III,9001540,BUQUEBUS,143,31,1,Salida,Pasajeros,2016
2016-01-27 00:00:00,ATLANTIC III,9001540,ROU - COLONIA,472,32,8,Entrada,Pasajeros,2016
2016-01-27 00:00:00,CAP SAN NICOLAS,9622203,PUERTO BUENOS AIRES,5,26,0,Entrada,Carga,2016
2016-01-27 00:00:00,CIUDAD DE BUENOS AIRES,6423151,PUERTO BUENOS AIRES,0,22,0,Entrada,Carga,2016
2016-01-27 00:00:00,CIUDAD DE BUENOS AIRES,6423151,PUERTO BUENOS AIRES,7,15,0,Salida,Carga,2016
2016-01-27 00:00:00,COLONIA EXPRESS,8704937,COLONIA EXPRESS BAIRES,103,13,1,Salida,Pasajeros,2016
2016-01-27 00:00:00,COLONIA EXPRESS,8704937,ROU - COLONIA,126,13,1,Entrada,Pasajeros,2016
2016-01-27 00:00:00,CRYSTAL SYMPHONY,9066667,TERMINAL CRUCEROS PTO. BS. AS.,621,568,0,Entrada,Pasajeros,2016
2016-01-27 00:00:00,CRYSTAL SYMPHONY,9066667,TERMINAL CRUCEROS PTO. BS. AS.,795,570,0,Salida,Pasajeros,2016
2016-01-27 00:00:00,ELADIA ISABEL,8869581,ROU - COLONIA,282,42,5,Entrada,Pasajeros,2016
2016-01-27 00:00:00,ELADIA ISABEL,8869581,BUQUEBUS,425,40,6,Salida,Pasajeros,2016
2016-01-27 00:00:00,ELADIA ISABEL,8869581,ROU - COLONIA,616,39,6,Entrada,Pasajeros,2016
2016-01-27 00:00:00,FRANCISCO,9610028,BUQUEBUS,322,50,6,Salida,Pasajeros,2016
2016-01-27 00:00:00,FRISIA KIEL,9302437,PUERTO BUENOS AIRES,0,22,0,Salida,Carga,2016
2016-01-27 00:00:00,JUAN PATRICIO,9610028,BUQUEBUS,408,26,3,Salida,Pasajeros,2016
2016-01-27 00:00:00,JUAN PATRICIO,9610028,ROU - MONTEVIDEO,316,28,8,Entrada,Pasajeros,2016
2016-01-27 00:00:00,MARCO POLO,6417097,TERMINAL CRUCEROS PTO. BS. AS.,730,333,0,Entrada,Pasajeros,2016
2016-01-27 00:00:00,MARCO POLO,6417097,TERMINAL CRUCEROS PTO. BS. AS.,730,333,0,Salida,Pasajeros,2016
2016-01-27 00:00:00,MSC ALICANTE,9480174,PUERTO BUENOS AIRES,0,24,0,Entrada,Carga,2016
2016-01-27 00:00:00,MSC MAGNIFICA,9387085,TERMINAL CRUCEROS PTO. BS. AS.,2949,946,19,Entrada,Pasajeros,2016
2016-01-27 00:00:00,PATRICIA OLIVIA II,9043952,BUQUEBUS,245,15,6,Salida,Pasajeros,2016
2016-01-27 00:00:00,PATRICIA OLIVIA II,9043952,ROU - COLONIA,157,13,4,Entrada,Pasajeros,2016
2016-01-27 00:00:00,PATRICIA OLIVIA II,9043952,BUQUEBUS,200,13,1,Salida,Pasajeros,2016
